"id","title","description","source","domain","date"
21,"Mexico ready to retaliate by hurting US farmers","Mexican Senator Armando Rios Piter told CNN that he plans to introduce a bill this week that would stop Mexican purchases of American corn.","cnn","business","2017-07-03"
22,"Will the next iPhone charge wirelessly?","The days of plugging in an iPhone to charge won't last forever.","cnn","business","2017-07-03"
23,"How 'America First' could turn into to 'India First'","Nandan Nilekani, co-founder of one of India's biggest outsourcing companies, says an H-1B visa crackdown would ultimately hurt the U.S.","cnn","business","2017-07-03"
24,"Swiss voters reject corporate tax overhaul","Read full story for latest details.","cnn","business","2017-07-03"
25,"Stocks hit record again. Is Trump the reason?","The market is at all-time highs and many say Trump is the reason. But stocks were rallying when investors thought Hillary Clinton would win. Janet Yellen and the Fed may deserve more of the credit for the market's move.","cnn","business","2017-07-03"
26,"Apple stock nears record high","Apple stock is less than $1 away from its all-time high amid renewed optimism for the iPhone.","cnn","business","2017-07-03"
27,"America's NAFTA nemesis: Canada, not Mexico","President-elect Donald Trump focuses his criticism of NAFTA on Mexico. But Canada and America have a rocky trade history too.","cnn","business","2017-07-03"
28,"Verizon's plan: Consumers win, investors lose","Verizon has decided to bring back unlimited data plans. But while that's great for its subscribers, it's awful news for investors. It's another sign of how brutally competitive the telecom business is. And it's hurting Verizon's stock.","cnn","business","2017-07-03"
29,"Oil prices have doubled in a year. Here's why","The price of crude oil has more than doubled over the past year after bottoming out at $26 per barrel in February 2016.","cnn","business","2017-07-03"
30,"Tesla will sell electric cars in the Middle East","The automaker announced Monday that its first official venture in the oil-rich Middle East will be in the United Arab Emirates.","cnn","business","2017-07-03"
31,"Indian rival slams Uber's business model","Uber's top rival in India has some unsolicited advice for the U.S. startup: Go local.","cnn","business","2017-07-03"
32,"Cook calls for campaign against fake news","Apple CEO Tim Cook wants the tech industry to take action against ""fake news"" stories that are polluting the web.","cnn","business","2017-07-03"
33,"Trump brand takes another hit","Sears Holdings, the company that owns retail stores Sears and Kmart, said this weekend that it would remove 31 Trump-branded items from its website.","cnn","business","2017-07-03"
34,"Cutting down trash with bamboo packaging","Universal Biopack makes packaging that it sells to restaurants and manufacturers. But rather than plastic, it uses a mixture of bamboo and cassava.","cnn","business","2017-07-03"
35,"Nike stars champion 'Equality' in new ad","Nike on Sunday launched a star-studded short film titled ""Equality"" that coincides with Black History Month.","cnn","business","2017-07-03"
36,"'Lego Batman' producer, then Treasury sec?","Treasury secretary pick Steven Mnuchin is an executive producer on Warner Bros.' ""The Lego Batman Movie,"" which pulled in an estimated $55.6 million from U.S. audiences during its opening weekend.","cnn","business","2017-07-03"
37,"Are we heading for another Greek debt crisis?","It may seem like a recurring nightmare, but Greece is in danger of running out of money again.","cnn","business","2017-07-03"
38,"Verizon is bringing back unlimited data","Read full story for latest details.","cnn","business","2017-07-03"
39,"Visa crackdown puts these rural doctors at risk","Read full story for latest details.","cnn","business","2017-07-03"
40,"Trump isn't killing the bull market. Here's why","Read full story for latest details.","cnn","business","2017-07-03"
41,"Mexico ready to retaliate by hurting US farmers","Mexican Senator Armando Rios Piter told CNN that he plans to introduce a bill this week that would stop Mexican purchases of American corn.","cnn","business","2017-07-09"
42,"Will the next iPhone charge wirelessly?","The days of plugging in an iPhone to charge won't last forever.","cnn","business","2017-07-09"
43,"How 'America First' could turn into to 'India First'","Nandan Nilekani, co-founder of one of India's biggest outsourcing companies, says an H-1B visa crackdown would ultimately hurt the U.S.","cnn","business","2017-07-09"
44,"Swiss voters reject corporate tax overhaul","Read full story for latest details.","cnn","business","2017-07-09"
45,"Stocks hit record again. Is Trump the reason?","The market is at all-time highs and many say Trump is the reason. But stocks were rallying when investors thought Hillary Clinton would win. Janet Yellen and the Fed may deserve more of the credit for the market's move.","cnn","business","2017-07-09"
46,"Apple stock nears record high","Apple stock is less than $1 away from its all-time high amid renewed optimism for the iPhone.","cnn","business","2017-07-09"
47,"America's NAFTA nemesis: Canada, not Mexico","President-elect Donald Trump focuses his criticism of NAFTA on Mexico. But Canada and America have a rocky trade history too.","cnn","business","2017-07-09"
48,"Verizon's plan: Consumers win, investors lose","Verizon has decided to bring back unlimited data plans. But while that's great for its subscribers, it's awful news for investors. It's another sign of how brutally competitive the telecom business is. And it's hurting Verizon's stock.","cnn","business","2017-07-09"
49,"Oil prices have doubled in a year. Here's why","The price of crude oil has more than doubled over the past year after bottoming out at $26 per barrel in February 2016.","cnn","business","2017-07-09"
50,"Tesla will sell electric cars in the Middle East","The automaker announced Monday that its first official venture in the oil-rich Middle East will be in the United Arab Emirates.","cnn","business","2017-07-09"
51,"Indian rival slams Uber's business model","Uber's top rival in India has some unsolicited advice for the U.S. startup: Go local.","cnn","business","2017-07-09"
52,"Cook calls for campaign against fake news","Apple CEO Tim Cook wants the tech industry to take action against ""fake news"" stories that are polluting the web.","cnn","business","2017-07-09"
53,"Trump brand takes another hit","Sears Holdings, the company that owns retail stores Sears and Kmart, said this weekend that it would remove 31 Trump-branded items from its website.","cnn","business","2017-07-09"
54,"Cutting down trash with bamboo packaging","Universal Biopack makes packaging that it sells to restaurants and manufacturers. But rather than plastic, it uses a mixture of bamboo and cassava.","cnn","business","2017-07-09"
55,"Nike stars champion 'Equality' in new ad","Nike on Sunday launched a star-studded short film titled ""Equality"" that coincides with Black History Month.","cnn","business","2017-07-09"
56,"'Lego Batman' producer, then Treasury sec?","Treasury secretary pick Steven Mnuchin is an executive producer on Warner Bros.' ""The Lego Batman Movie,"" which pulled in an estimated $55.6 million from U.S. audiences during its opening weekend.","cnn","business","2017-07-09"
57,"Are we heading for another Greek debt crisis?","It may seem like a recurring nightmare, but Greece is in danger of running out of money again.","cnn","business","2017-07-09"
58,"Verizon is bringing back unlimited data","Read full story for latest details.","cnn","business","2017-07-09"
59,"Visa crackdown puts these rural doctors at risk","Read full story for latest details.","cnn","business","2017-07-09"
60,"Trump isn't killing the bull market. Here's why","Read full story for latest details.","cnn","business","2017-07-09"
